Lillie Gill,9
Dorothy Schmidt,1
Willie Beck,7
Eugenia McCarthy,2
Gerald Hunt,7
Jared McDonald,4
Franklin Brooks,1
Cecelia Hammond,8
Nancy Drake,3
Myrtie Morton,10
Beatrice Hines,3
Teresa Sanders,1
Darrell Sims,4
Mattie Butler,3
Florence Brooks,6
Charles Hampton,8
Jordan Atkins,8
Augusta Goodwin,9
Marion Rice,6
Marguerite Hines,4
Sarah Gardner,7
Roxie Lawrence,7
Lina Warner,2
Lelia Higgins,10
Vera Silva,2
Walter Oliver,4
Jeff Gill,6
Teresa Dawson,4
Sally Taylor,2
Jeremy Matthews,2
Lettie Hale,5
Rosie Walters,1
Albert Obrien,3
Daisy Welch,10
Lillian Ball,3
Lucy Moss,7
Ivan Holloway,9
Leonard Holmes,4
Walter Lawson,10
Ollie Boone,6
Verna Webster,8
Alta Richards,8
Sophie Williamson,6
Mabel Sanders,4
Helen Holland,9
Aiden Morgan,7
Pauline Sanders,10
Jay Davis,3
Willie Larson,1
Joshua Baldwin,9
Roxie Torres,6
Margaret Chambers,4
Zachary Love,10
Jeanette Lambert,9
Lettie Greer,5
Alfred Ball,9
Leila Fields,2
Steven Hines,1
Grace Roberson,7
Rebecca Anderson,6
Cecelia Bennett,7
Loretta Mathis,6
Francis Butler,7
Landon Mendoza,7
Cecelia Barton,9
Phillip Phillips,5
Jean Mack,6
Hunter Guerrero,10
Johnny Kelley,7
Agnes Terry,10
Maurice Gray,8
Evelyn Bates,8
Sue Floyd,4
Ollie Jefferson,8
Jacob Lynch,7
Mittie Flowers,2
Allie Ruiz,5
Jon Flowers,5
Nora Moran,9
Ryan Weaver,1
Nannie Buchanan,10
Randall Flores,4
Duane Foster,8
Hilda George,8
Chris Moody,8
Delia Welch,7
Miguel Garza,7
Lena Curtis,6
Edgar Stephens,9
Lucy Baldwin,4
Eddie Howard,5
Frances Hale,10
Darrell Bowers,6
James Copeland,1
Stella Becker,6
Willie Cooper,10
Kevin Tran,5
Stella Coleman,4
Jerry Zimmerman,10
Louisa Padilla,9
